,ano,senioridade,contrato,cargo,salario,moeda,usd,residencia,remoto,empresa,tamanho_empresa,residencia_iso3
39,2025,senior,integral,Software Developer,94800,USD,94800,JP,presencial,JP,media,JPN
40,2025,senior,integral,Engineer,170000,USD,170000,US,presencial,US,media,USA
41,2025,senior,integral,Engineer,130000,USD,130000,US,presencial,US,media,USA
42,2025,senior,integral,Developer,150000,USD,150000,US,presencial,US,media,USA
43,2025,senior,integral,Developer,114000,USD,114000,US,presencial,US,media,USA
44,2025,pleno,integral,Data Engineer,54785,GBP,69348,GB,presencial,GB,media,GBR
45,2025,pleno,integral,Data Engineer,42180,GBP,53392,GB,presencial,GB,media,GBR
46,2025,senior,integral,Data Engineer,104000,USD,104000,US,presencial,US,media,USA
47,2025,senior,integral,Data Engineer,72800,USD,72800,US,presencial,US,media,USA
48,2025,senior,integral,Data Analyst,55114,GBP,69764,GB,presencial,GB,media,GBR
49,2025,senior,integral,Data Analyst,40736,GBP,51564,GB,presencial,GB,media,GBR
50,2025,junior,integral,Data Analyst,324000,MXN,15890,MX,presencial,MX,media,MEX
51,2025,junior,integral,Data Analyst,122870,USD,122870,US,presencial,US,media,USA
52,2025,junior,integral,Data Analyst,94945,USD,94945,US,presencial,US,media,USA
53,2025,junior,contrato,Data Analyst,74000,USD,74000,US,presencial,US,media,USA
54,2025,junior,contrato,Data Analyst,70000,USD,70000,US,presencial,US,media,USA
55,2025,pleno,integral,Consultant,72000,EUR,75789,NL,presencial,NL,media,NLD
56,2025,pleno,integral,Consultant,36000,EUR,37894,NL,presencial,NL,media,NLD
57,2025,pleno,integral,Data Specialist,32000,EUR,33684,ES,presencial,ES,media,ESP
58,2025,pleno,integral,Data Specialist,28000,EUR,29473,ES,presencial,ES,media,ESP
59,2025,senior,integral,Manager,160380,USD,160380,US,presencial,US,media,USA
60,2025,senior,integral,Manager,123930,USD,123930,US,presencial,US,media,USA
61,2025,senior,integral,Solutions Engineer,170000,USD,170000,US,presencial,US,media,USA
62,2025,senior,integral,Solutions Engineer,110000,USD,110000,US,presencial,US,media,USA
63,2025,senior,integral,Solutions Engineer,170000,USD,170000,US,presencial,US,media,USA
64,2025,senior,integral,Solutions Engineer,110000,USD,110000,US,presencial,US,media,USA
65,2025,senior,integral,Data Scientist,258000,USD,258000,US,presencial,US,media,USA
66,2025,senior,integral,Data Scientist,119800,USD,119800,US,presencial,US,media,USA
67,2025,pleno,integral,Manager,149800,USD,149800,US,presencial,US,media,USA
68,2025,pleno,integral,Manager,90210,USD,90210,US,presencial,US,media,USA
69,2025,senior,integral,Manager,222600,USD,222600,US,presencial,US,media,USA
70,2025,senior,integral,Manager,106400,USD,106400,US,presencial,US,media,USA
71,2025,pleno,contrato,Software Engineer,162000,USD,162000,US,presencial,US,media,USA
72,2025,pleno,contrato,Software Engineer,140000,USD,140000,US,presencial,US,media,USA
73,2025,senior,integral,Data Scientist,175074,USD,175074,US,presencial,US,media,USA
74,2025,senior,integral,Data Scientist,79560,USD,79560,US,presencial,US,media,USA
75,2025,senior,integral,Software Developer,223400,USD,223400,US,presencial,US,media,USA
76,2025,senior,integral,Software Developer,96800,USD,96800,US,presencial,US,media,USA
77,2025,senior,integral,Research Scientist,202000,USD,202000,US,presencial,US,media,USA
78,2025,senior,integral,Research Scientist,146000,USD,146000,US,presencial,US,media,USA
79,2025,junior,parcial,Analyst,130514,USD,130514,AU,presencial,AU,media,AUS
80,2025,junior,parcial,Analyst,115240,USD,115240,AU,presencial,AU,media,AUS
81,2025,senior,integral,Software Engineer,160000,USD,160000,US,presencial,US,media,USA
82,2025,senior,integral,Software Engineer,130000,USD,130000,US,presencial,US,media,USA
83,2025,senior,integral,Software Architect,233450,USD,233450,US,presencial,US,media,USA
84,2025,senior,integral,Software Architect,141950,USD,141950,US,presencial,US,media,USA
85,2025,pleno,integral,Associate,100000,USD,100000,US,presencial,US,media,USA
86,2025,pleno,integral,Associate,61000,USD,61000,US,presencial,US,media,USA
87,2025,junior,integral,Data Management Analyst,73116,USD,73116,US,presencial,US,media,USA
88,2025,junior,integral,Data Management Analyst,73116,USD,73116,US,presencial,US,media,USA
89,2025,senior,integral,Research Scientist,175392,USD,175392,US,presencial,US,media,USA
90,2025,senior,integral,Research Scientist,122774,USD,122774,US,presencial,US,media,USA
91,2025,senior,integral,Engineer,150000,USD,150000,US,presencial,US,media,USA
92,2025,senior,integral,Engineer,130000,USD,130000,US,presencial,US,media,USA
93,2025,pleno,integral,Data Engineer,124000,USD,124000,US,presencial,US,media,USA
94,2025,pleno,integral,Data Engineer,77000,USD,77000,US,presencial,US,media,USA
95,2025,senior,integral,Data Analyst,120000,USD,120000,US,presencial,US,media,USA
96,2025,senior,integral,Data Analyst,90000,USD,90000,US,presencial,US,media,USA
97,2025,senior,integral,Data Analyst,122000,USD,122000,US,presencial,US,media,USA
98,2025,senior,integral,Data Analyst,78000,USD,78000,US,presencial,US,media,USA
99,2025,junior,integral,Data Analyst,110000,USD,110000,US,presencial,US,media,USA
100,2025,junior,integral,Data Analyst,70000,USD,70000,US,presencial,US,media,USA
101,2025,pleno,integral,Data Reporter,70000,USD,70000,US,presencial,US,media,USA
102,2025,pleno,integral,Data Reporter,60000,USD,60000,US,presencial,US,media,USA
103,2025,senior,integral,Computational Biologist,124200,USD,124200,US,presencial,US,media,USA
104,2025,senior,integral,Computational Biologist,77000,USD,77000,US,presencial,US,media,USA
105,2025,senior,integral,Applied Scientist,258000,USD,258000,US,presencial,US,media,USA
106,2025,senior,integral,Applied Scientist,119800,USD,119800,US,presencial,US,media,USA
107,2025,senior,integral,Engineer,163000,USD,163000,CA,presencial,CA,media,CAN
108,2025,senior,integral,Engineer,80000,USD,80000,CA,presencial,CA,media,CAN
109,2025,senior,integral,Director,309500,USD,309500,US,presencial,US,media,USA
110,2025,senior,integral,Director,185700,USD,185700,US,presencial,US,media,USA
111,2025,pleno,integral,Manager,192000,USD,192000,US,presencial,US,media,USA
112,2025,pleno,integral,Manager,92100,USD,92100,US,presencial,US,media,USA
113,2025,pleno,integral,Manager,192000,USD,192000,US,presencial,US,media,USA
114,2025,pleno,integral,Manager,92100,USD,92100,US,presencial,US,media,USA
115,2025,pleno,integral,Manager,39000,EUR,41052,ES,presencial,ES,media,ESP
116,2025,pleno,integral,Manager,33000,EUR,34736,ES,presencial,ES,media,ESP
117,2025,senior,integral,Analyst,243340,USD,243340,US,presencial,US,media,USA
118,2025,senior,integral,Analyst,127310,USD,127310,US,presencial,US,media,USA
119,2025,pleno,integral,Data Engineer,203000,USD,203000,US,presencial,US,media,USA
120,2025,pleno,integral,Data Engineer,123000,USD,123000,US,presencial,US,media,USA
121,2025,senior,integral,Data Engineer,165000,USD,165000,US,presencial,US,media,USA
122,2025,senior,integral,Data Engineer,135000,USD,135000,US,presencial,US,media,USA
123,2025,senior,integral,Data Engineer,280500,USD,280500,US,presencial,US,media,USA
124,2025,senior,integral,Data Engineer,204000,USD,204000,US,presencial,US,media,USA
125,2025,pleno,integral,Data Engineer,203000,USD,203000,US,presencial,US,media,USA
126,2025,pleno,integral,Data Engineer,123000,USD,123000,US,presencial,US,media,USA
127,2025,pleno,integral,Data Engineer,175400,USD,175400,US,presencial,US,media,USA
128,2025,pleno,integral,Data Engineer,106300,USD,106300,US,presencial,US,media,USA
129,2025,pleno,integral,Product Designer,125000,USD,125000,CA,remoto,CA,media,CAN
130,2025,pleno,integral,Product Designer,114000,USD,114000,CA,remoto,CA,media,CAN
131,2025,pleno,integral,Data Scientist,117000,USD,117000,US,presencial,US,media,USA
132,2025,pleno,integral,Data Scientist,90000,USD,90000,US,presencial,US,media,USA
133,2025,senior,integral,Data Analyst,123700,USD,123700,US,remoto,US,media,USA
134,2025,senior,integral,Data Analyst,68700,USD,68700,US,remoto,US,media,USA
135,2025,senior,integral,Data Analyst,123700,USD,123700,US,remoto,US,media,USA
136,2025,senior,integral,Data Analyst,68700,USD,68700,US,remoto,US,media,USA
137,2025,pleno,integral,Data Analyst,149900,USD,149900,US,presencial,US,media,USA
138,2025,pleno,integral,Data Analyst,75500,USD,75500,US,presencial,US,media,USA
139,2025,senior,integral,Data Engineer,135000,USD,135000,US,remoto,US,media,USA
140,2025,senior,integral,Data Engineer,101250,USD,101250,US,remoto,US,media,USA
141,2025,junior,integral,Data Analyst,19956,EUR,21006,FR,presencial,FR,media,FRA
142,2025,junior,integral,Data Analyst,17712,EUR,18644,FR,presencial,FR,media,FRA
143,2025,pleno,integral,Data Specialist,141440,USD,141440,US,presencial,US,media,USA
144,2025,pleno,integral,Data Specialist,96720,USD,96720,US,presencial,US,media,USA
145,2025,senior,integral,Consultant,217200,USD,217200,US,presencial,US,media,USA
146,2025,senior,integral,Consultant,111100,USD,111100,US,presencial,US,media,USA
147,2025,senior,integral,Analyst,200000,USD,200000,US,presencial,US,media,USA
148,2025,senior,integral,Analyst,175947,USD,175947,US,presencial,US,media,USA
149,2025,senior,integral,Analyst,212000,USD,212000,US,presencial,US,media,USA
150,2025,senior,integral,Analyst,212000,USD,212000,US,presencial,US,media,USA
151,2025,pleno,integral,Manager,284000,USD,284000,US,presencial,US,media,USA
152,2025,pleno,integral,Manager,162000,USD,162000,US,presencial,US,media,USA
153,2025,pleno,integral,Software Development Engineer,179000,USD,179000,US,presencial,US,media,USA
154,2025,pleno,integral,Software Development Engineer,112000,USD,112000,US,presencial,US,media,USA
155,2025,senior,integral,Architect,153925,USD,153925,US,remoto,US,media,USA
156,2025,senior,integral,Architect,85150,USD,85150,US,remoto,US,media,USA
157,2025,pleno,integral,Engineer,106200,USD,106200,US,presencial,US,media,USA
158,2025,pleno,integral,Engineer,57200,USD,57200,US,presencial,US,media,USA
159,2025,pleno,integral,Engineer,176000,USD,176000,US,presencial,US,media,USA
160,2025,pleno,integral,Engineer,128000,USD,128000,US,presencial,US,media,USA
161,2025,senior,integral,Software Engineer,248594,USD,248594,US,presencial,US,media,USA
162,2025,senior,integral,Software Engineer,177567,USD,177567,US,presencial,US,media,USA
163,2025,senior,integral,Data Analyst,101500,USD,101500,CA,presencial,CA,media,CAN
164,2025,senior,integral,Data Analyst,54500,USD,54500,CA,presencial,CA,media,CAN
165,2025,pleno,integral,Data Analytics Manager,195000,USD,195000,US,presencial,US,media,USA
166,2025,pleno,integral,Data Analytics Manager,105000,USD,105000,US,presencial,US,media,USA
167,2025,senior,integral,Principal Statistical Programmer,273200,USD,273200,US,presencial,US,media,USA
168,2025,senior,integral,Principal Statistical Programmer,88300,USD,88300,US,presencial,US,media,USA
169,2025,pleno,integral,Associate,235300,USD,235300,US,presencial,US,media,USA
170,2025,pleno,integral,Associate,84400,USD,84400,US,presencial,US,media,USA
171,2025,pleno,integral,Associate,245985,USD,245985,US,remoto,US,media,USA
172,2025,pleno,integral,Associate,164530,USD,164530,US,remoto,US,media,USA
173,2025,junior,integral,Software Engineer,107000,USD,107000,MT,presencial,MT,media,MLT
174,2025,junior,integral,Software Engineer,52500,USD,52500,MT,presencial,MT,media,MLT
175,2025,senior,integral,Analyst,131747,USD,131747,US,remoto,US,media,USA
176,2025,senior,integral,Analyst,80849,USD,80849,US,remoto,US,media,USA
177,2025,senior,integral,Analyst,109000,USD,109000,CA,presencial,CA,media,CAN
178,2025,senior,integral,Analyst,77000,USD,77000,CA,presencial,CA,media,CAN
179,2025,pleno,integral,Manager,126000,USD,126000,CA,presencial,CA,media,CAN
180,2025,pleno,integral,Manager,68000,USD,68000,CA,presencial,CA,media,CAN
181,2025,executivo,integral,Director,145000,USD,145000,US,presencial,US,media,USA
182,2025,executivo,integral,Director,115000,USD,115000,US,presencial,US,media,USA
183,2025,senior,integral,Manager,222600,USD,222600,US,presencial,US,media,USA
184,2025,senior,integral,Manager,120000,USD,120000,US,presencial,US,media,USA
185,2025,senior,integral,Manager,187200,USD,187200,CA,presencial,CA,media,CAN
186,2025,senior,integral,Manager,100800,USD,100800,CA,presencial,CA,media,CAN
187,2025,executivo,integral,Director,261800,USD,261800,US,presencial,US,media,USA
188,2025,executivo,integral,Director,140800,USD,140800,US,presencial,US,media,USA
189,2025,pleno,integral,Cloud Engineer,198200,USD,198200,US,presencial,US,media,USA
190,2025,pleno,integral,Cloud Engineer,94400,USD,94400,US,presencial,US,media,USA
191,2025,pleno,integral,Manager,119875,USD,119875,CA,presencial,CA,media,CAN
192,2025,pleno,integral,Manager,71925,USD,71925,CA,presencial,CA,media,CAN
193,2025,senior,integral,Software Engineer,192050,USD,192050,US,presencial,US,media,USA
194,2025,senior,integral,Software Engineer,118150,USD,118150,US,presencial,US,media,USA
195,2025,senior,integral,Engineer,169050,USD,169050,US,presencial,US,media,USA
196,2025,senior,integral,Engineer,124950,USD,124950,US,presencial,US,media,USA
197,2025,senior,integral,Data Architect,198000,USD,198000,US,presencial,US,media,USA
198,2025,senior,integral,Data Architect,86900,USD,86900,US,presencial,US,media,USA
199,2025,senior,integral,Data Architect,163116,USD,163116,US,presencial,US,media,USA
200,2025,senior,integral,Data Architect,97870,USD,97870,US,presencial,US,media,USA
201,2025,executivo,integral,Data Analyst,85000,USD,85000,US,presencial,US,media,USA
202,2025,executivo,integral,Data Analyst,75000,USD,75000,US,presencial,US,media,USA
203,2025,junior,integral,Data Analyst,141000,USD,141000,US,presencial,US,media,USA
204,2025,junior,integral,Data Analyst,61900,USD,61900,US,presencial,US,media,USA
205,2025,senior,integral,Engineer,286300,USD,286300,US,presencial,US,media,USA
206,2025,senior,integral,Engineer,163600,USD,163600,US,presencial,US,media,USA
207,2025,senior,integral,Product Owner,212333,USD,212333,US,presencial,US,media,USA
208,2025,senior,integral,Product Owner,147000,USD,147000,US,presencial,US,media,USA
209,2025,senior,integral,Product Owner,180967,USD,180967,CA,presencial,CA,media,CAN
210,2025,senior,integral,Product Owner,125300,USD,125300,CA,presencial,CA,media,CAN
211,2025,senior,integral,Data Scientist,115000,GBP,145569,GB,presencial,GB,media,GBR
212,2025,senior,integral,Data Scientist,85000,GBP,107594,GB,presencial,GB,media,GBR
213,2025,pleno,integral,Data Scientist,121956,USD,121956,US,presencial,US,media,USA
214,2025,pleno,integral,Data Scientist,93974,USD,93974,US,presencial,US,media,USA
215,2025,pleno,integral,Data Scientist,98817,USD,98817,US,presencial,US,media,USA
216,2025,pleno,integral,Data Scientist,74113,USD,74113,US,presencial,US,media,USA
217,2025,senior,integral,Data Engineer,193820,USD,193820,US,remoto,US,media,USA
218,2025,senior,integral,Data Engineer,140960,USD,140960,US,remoto,US,media,USA
219,2025,pleno,integral,Data Engineer,143000,USD,143000,US,presencial,US,media,USA
220,2025,pleno,integral,Data Engineer,77000,USD,77000,US,presencial,US,media,USA
221,2025,pleno,integral,Data Engineer,113000,USD,113000,US,presencial,US,media,USA
222,2025,pleno,integral,Data Engineer,74000,USD,74000,US,presencial,US,media,USA
223,2025,pleno,integral,Software Engineer,108212,USD,108212,US,presencial,US,media,USA
224,2025,pleno,integral,Software Engineer,69999,USD,69999,US,presencial,US,media,USA
225,2025,pleno,integral,Software Engineer,108212,USD,108212,US,presencial,US,media,USA
226,2025,pleno,integral,Software Engineer,69999,USD,69999,US,presencial,US,media,USA
227,2025,senior,integral,Data Engineer,125000,USD,125000,US,presencial,US,media,USA
228,2025,senior,integral,Data Engineer,90000,USD,90000,US,presencial,US,media,USA
229,2025,senior,integral,Engineer,160000,USD,160000,US,presencial,US,media,USA
230,2025,senior,integral,Engineer,130000,USD,130000,US,presencial,US,media,USA
231,2025,pleno,integral,Manager,118700,USD,118700,US,presencial,US,media,USA
232,2025,pleno,integral,Manager,79100,USD,79100,US,presencial,US,media,USA
233,2025,senior,integral,Product Manager,233000,USD,233000,US,presencial,US,media,USA
234,2025,senior,integral,Product Manager,144000,USD,144000,US,presencial,US,media,USA
235,2025,executivo,integral,Executive,122634,USD,122634,US,presencial,US,media,USA
236,2025,executivo,integral,Executive,113443,USD,113443,US,presencial,US,media,USA
237,2025,junior,integral,Analyst,100500,USD,100500,US,presencial,US,media,USA
238,2025,junior,integral,Analyst,60300,USD,60300,US,presencial,US,media,USA
239,2025,senior,integral,Analyst,122600,USD,122600,US,presencial,US,media,USA
240,2025,senior,integral,Analyst,73000,USD,73000,US,presencial,US,media,USA
241,2025,senior,integral,Architect,75000,EUR,78947,FR,presencial,FR,media,FRA
242,2025,senior,integral,Architect,65000,EUR,68421,FR,presencial,FR,media,FRA
243,2025,pleno,integral,Analyst,176000,USD,176000,US,presencial,US,media,USA
244,2025,pleno,integral,Analyst,77600,USD,77600,US,presencial,US,media,USA
245,2025,senior,integral,Business Intelligence Engineer,162600,USD,162600,US,presencial,US,grande,USA
246,2025,senior,integral,Business Intelligence Engineer,97400,USD,97400,US,presencial,US,grande,USA
247,2025,senior,integral,Data Governance Lead,165000,USD,165000,US,presencial,US,media,USA
248,2025,senior,integral,Data Governance Lead,120000,USD,120000,US,presencial,US,media,USA
249,2025,pleno,integral,Data Governance Specialist,206300,USD,206300,US,presencial,US,media,USA
250,2025,pleno,integral,Data Governance Specialist,100600,USD,100600,US,presencial,US,media,USA
251,2025,pleno,integral,AI Engineer,200900,USD,200900,US,remoto,US,media,USA
252,2025,pleno,integral,AI Engineer,133900,USD,133900,US,remoto,US,media,USA
253,2025,senior,integral,Applied Scientist,257600,USD,257600,US,presencial,US,media,USA
254,2025,senior,integral,Applied Scientist,142700,USD,142700,US,presencial,US,media,USA
255,2025,pleno,integral,Data Analyst,125000,USD,125000,US,presencial,US,media,USA
256,2025,pleno,integral,Data Analyst,115000,USD,115000,US,presencial,US,media,USA
257,2025,senior,integral,Data Analyst,115000,USD,115000,US,presencial,US,media,USA
258,2025,senior,integral,Data Analyst,90000,USD,90000,US,presencial,US,media,USA
259,2025,senior,integral,Data Engineer,134800,USD,134800,US,presencial,US,grande,USA
260,2025,senior,integral,Data Engineer,80700,USD,80700,US,presencial,US,grande,USA
261,2025,senior,integral,Data Engineer,295000,USD,295000,US,presencial,US,media,USA
262,2025,senior,integral,Data Engineer,227000,USD,227000,US,presencial,US,media,USA
263,2025,senior,integral,Solutions Architect,307400,USD,307400,US,presencial,US,media,USA
264,2025,senior,integral,Solutions Architect,219400,USD,219400,US,presencial,US,media,USA
265,2025,senior,integral,Solutions Architect,243000,USD,243000,US,remoto,US,media,USA
266,2025,senior,integral,Solutions Architect,162000,USD,162000,US,remoto,US,media,USA
267,2025,pleno,integral,AI Researcher,350000,USD,350000,US,remoto,US,media,USA
268,2025,pleno,integral,AI Researcher,180000,USD,180000,US,remoto,US,media,USA
269,2025,junior,integral,Machine Learning Engineer,193000,USD,193000,US,remoto,US,media,USA
270,2025,junior,integral,Machine Learning Engineer,133000,USD,133000,US,remoto,US,media,USA
271,2025,pleno,integral,Machine Learning Engineer,223600,USD,223600,US,presencial,US,grande,USA
272,2025,pleno,integral,Machine Learning Engineer,129300,USD,129300,US,presencial,US,grande,USA
273,2025,senior,integral,Bear Robotics,262000,USD,262000,US,presencial,US,media,USA
274,2025,senior,integral,Bear Robotics,210000,USD,210000,US,presencial,US,media,USA
275,2025,senior,integral,Software Engineer,173250,USD,173250,US,remoto,US,media,USA
276,2025,senior,integral,Software Engineer,118965,USD,118965,US,remoto,US,media,USA
277,2025,pleno,integral,Data Strategist,185000,USD,185000,US,presencial,US,media,USA
278,2025,pleno,integral,Data Strategist,135000,USD,135000,US,presencial,US,media,USA
279,2025,pleno,integral,Research Engineer,250000,USD,250000,US,presencial,US,media,USA
280,2025,pleno,integral,Research Engineer,180000,USD,180000,US,presencial,US,media,USA
281,2025,senior,integral,Product Designer,258400,USD,258400,US,remoto,US,media,USA
282,2025,senior,integral,Product Designer,161500,USD,161500,US,remoto,US,media,USA
283,2025,pleno,integral,Researcher,104000,USD,104000,CA,presencial,CA,media,CAN
284,2025,pleno,integral,Researcher,88000,USD,88000,CA,presencial,CA,media,CAN
285,2025,senior,integral,Software Development Engineer,197600,USD,197600,US,presencial,US,media,USA
286,2025,senior,integral,Software Development Engineer,118976,USD,118976,US,presencial,US,media,USA
287,2025,pleno,integral,Software Engineer,253000,USD,253000,US,remoto,US,media,USA
288,2025,pleno,integral,Software Engineer,183000,USD,183000,US,remoto,US,media,USA
289,2025,pleno,integral,Software Engineer,165282,USD,165282,US,presencial,US,media,USA
290,2025,pleno,integral,Software Engineer,102756,USD,102756,US,presencial,US,media,USA
291,2025,senior,integral,Engineer,167740,USD,167740,US,presencial,US,media,USA
292,2025,senior,integral,Engineer,128119,USD,128119,US,presencial,US,media,USA
293,2025,pleno,integral,Engineer,94000,USD,94000,US,presencial,US,media,USA
294,2025,pleno,integral,Engineer,90000,USD,90000,US,presencial,US,media,USA
295,2025,pleno,integral,Engineer,94000,USD,94000,US,presencial,US,media,USA
296,2025,pleno,integral,Engineer,90000,USD,90000,US,presencial,US,media,USA
297,2025,pleno,integral,Engineer,94000,USD,94000,US,presencial,US,media,USA
298,2025,pleno,integral,Engineer,90000,USD,90000,US,presencial,US,media,USA
299,2025,pleno,integral,Business Analyst,84000,EUR,88421,NL,presencial,NL,media,NLD
300,2025,pleno,integral,Business Analyst,48000,EUR,50526,NL,presencial,NL,media,NLD
301,2025,pleno,integral,Solution Engineer,150000,USD,150000,US,presencial,US,media,USA
302,2025,pleno,integral,Solution Engineer,130000,USD,130000,US,presencial,US,media,USA
303,2025,senior,integral,Software Engineer,154000,USD,154000,US,presencial,US,media,USA
304,2025,senior,integral,Software Engineer,110000,USD,110000,US,presencial,US,media,USA
305,2025,pleno,integral,Full Stack Developer,170000,USD,170000,US,presencial,US,media,USA
306,2025,pleno,integral,Full Stack Developer,140000,USD,140000,US,presencial,US,media,USA
307,2025,senior,integral,Product Analyst,207000,USD,207000,US,remoto,US,media,USA
308,2025,senior,integral,Product Analyst,127500,USD,127500,US,remoto,US,media,USA
309,2025,pleno,integral,Engineer,110000,USD,110000,US,presencial,US,media,USA
310,2025,pleno,integral,Engineer,81000,USD,81000,US,presencial,US,media,USA
311,2025,pleno,integral,Research Engineer,405000,USD,405000,US,presencial,US,media,USA
312,2025,pleno,integral,Research Engineer,300000,USD,300000,US,presencial,US,media,USA
313,2025,senior,integral,Full Stack Engineer,220000,USD,220000,US,remoto,US,media,USA
314,2025,senior,integral,Full Stack Engineer,170000,USD,170000,US,remoto,US,media,USA
315,2025,pleno,integral,Full Stack Engineer,190000,USD,190000,US,remoto,US,media,USA
316,2025,pleno,integral,Full Stack Engineer,130000,USD,130000,US,remoto,US,media,USA
317,2025,senior,integral,Backend Engineer,220000,USD,220000,US,remoto,US,media,USA
318,2025,senior,integral,Backend Engineer,170000,USD,170000,US,remoto,US,media,USA
319,2025,pleno,integral,Backend Engineer,190000,USD,190000,US,remoto,US,media,USA
320,2025,pleno,integral,Backend Engineer,130000,USD,130000,US,remoto,US,media,USA
321,2025,senior,integral,Software Engineer,259900,USD,259900,US,remoto,US,media,USA
322,2025,senior,integral,Software Engineer,170800,USD,170800,US,remoto,US,media,USA
323,2025,senior,integral,Sales Engineer,180000,USD,180000,US,presencial,US,media,USA
324,2025,senior,integral,Sales Engineer,160000,USD,160000,US,presencial,US,media,USA
325,2025,pleno,integral,Engineer,165600,USD,165600,US,presencial,US,grande,USA
326,2025,pleno,integral,Engineer,74100,USD,74100,US,presencial,US,grande,USA
327,2025,pleno,integral,Prompt Engineer,24000,USD,24000,IT,remoto,US,media,ITA
328,2025,executivo,integral,Head of AI,238000,USD,238000,US,presencial,US,media,USA
329,2025,executivo,integral,Head of AI,214000,USD,214000,US,presencial,US,media,USA
330,2025,senior,integral,Platform Engineer,240000,USD,240000,US,presencial,US,media,USA
331,2025,senior,integral,Platform Engineer,140000,USD,140000,US,presencial,US,media,USA
332,2025,senior,integral,Platform Engineer,217000,USD,217000,US,presencial,US,media,USA
333,2025,senior,integral,Platform Engineer,140000,USD,140000,US,presencial,US,media,USA
334,2025,senior,integral,Platform Engineer,217000,USD,217000,US,presencial,US,media,USA
335,2025,senior,integral,Platform Engineer,140000,USD,140000,US,presencial,US,media,USA
336,2025,senior,integral,Applied Scientist,252000,USD,252000,US,remoto,US,media,USA
337,2025,senior,integral,Applied Scientist,183000,USD,183000,US,remoto,US,media,USA
338,2025,pleno,integral,Software Engineer,205000,USD,205000,US,presencial,US,media,USA
339,2025,pleno,integral,Software Engineer,145000,USD,145000,US,presencial,US,media,USA
340,2025,senior,integral,Data Engineer,145000,USD,145000,US,presencial,US,media,USA
341,2025,senior,integral,Data Engineer,110000,USD,110000,US,presencial,US,media,USA
342,2025,senior,integral,Engineer,252000,USD,252000,US,presencial,US,media,USA
